776609,4194304,4096,5,1024,4096,1,0,0,0,0,1.0,1.017,0,4.482,232,127,254,0,165,255,255,6.0,not packed
97444,4194304,4096,4,1024,4096,1,0,0,0,0,1.005,2.667,0,2.694,85,199,4,255,38,13,93,9.0,not packed
209923,4194304,4096,5,1024,4096,1,0,0,0,0,1.001,1.136,0,3.849,232,123,254,117,132,125,139,5.0,not packed
36955,4194304,4096,4,1024,4096,1,0,0,0,0,1.022,16.0,0,2.634,131,99,64,0,60,0,113,7.0,not packed
188498,4194304,4096,5,1024,4096,1,0,0,0,0,1.007,1.326,0,3.994,232,123,254,117,68,125,139,3.0,not packed
154163,4194304,4096,5,1024,4096,1,0,0,0,0,1.006,1.171,0,3.906,232,123,254,117,4,125,139,8.0,not packed
132506,4194304,4096,6,1024,8192,1,0,0,0,0,1.003,1.068,0,4.023,232,195,253,0,204,37,204,3.0,not packed
70158,4194304,8192,4,4096,4096,1,0,0,0,0,1.109,341.333,0,2.769,255,0,0,0,0,0,0,0.0,not packed
725100,4194304,4096,5,1024,4096,1,0,0,0,0,1.0,1.034,0,3.639,232,137,254,195,139,93,133,6.0,not packed
68214,16777216,4096,6,1024,8192,1,0,0,0,0,1.055,1.164,0,3.775,232,16,104,255,0,15,246,1.0,not packed
98170,16777216,4096,6,1024,65536,1,0,0,0,0,1.003,1.208,0,3.77,232,195,253,0,194,204,204,3.0,not packed
450058,4194304,4096,5,1024,4096,1,0,0,0,0,1.004,1.026,0,3.991,232,123,254,3,11,36,204,10.0,not packed
3027784,4194304,4096,5,1024,4096,1,0,0,0,0,1.0,1.005,0,4.258,232,57,254,246,24,131,106,9.0,not packed
676564,4194304,4096,5,1024,4096,1,0,0,0,0,1.001,1.03,0,4.207,232,123,254,209,254,248,15,3.0,not packed
59473,4194304,4096,4,1024,4096,1,0,0,0,0,1.015,16.0,0,2.733,131,131,64,0,174,131,255,2.0,not packed
1627718,4194304,4096,5,1024,4096,1,0,0,0,0,1.0,1.007,0,4.297,232,127,254,59,59,104,252,7.0,not packed
