1,0,1,0,1,3,1024,2,1,1,4096,4,10,2,1,1,0,0,0,0,8,1,2,7,5,0,3,4,1,4,9,0,0,not packed
1,0,0,0,1,4,1024,3,4,0,4096,6,10,2,4,1,0,0,0,0,7,2,2,8,1,0,3,2,1,4,9,4,1,not packed
1,0,1,2,1,5,1024,8,1,2,4096,4,10,2,1,1,0,0,0,0,7,1,2,6,5,0,3,4,1,9,10,1,0,not packed
1,0,0,1,1,4,1024,3,4,0,4096,6,10,2,4,1,0,0,0,0,7,2,2,8,1,0,3,2,1,4,9,4,1,not packed
1,0,1,1,1,8,1024,3,1,1,4096,4,10,2,1,1,0,0,0,0,7,1,2,5,5,0,3,4,2,4,9,4,0,not packed
1,0,1,2,1,9,1024,10,1,0,4096,5,10,2,1,1,0,0,0,0,7,1,2,5,5,0,3,5,2,7,10,3,0,not packed
1,0,1,2,1,9,1024,7,1,0,4096,5,10,2,1,1,0,0,0,0,7,1,2,6,5,0,3,5,2,6,10,1,0,not packed
1,0,1,0,1,2,1024,3,1,0,4096,5,10,2,1,1,0,0,0,0,9,1,2,6,5,0,2,5,0,5,9,0,0,not packed
1,0,1,0,1,3,1024,3,1,0,4096,5,10,2,1,1,0,0,0,0,7,1,2,6,5,0,3,4,1,4,9,4,1,not packed
1,0,1,1,1,4,1024,4,1,0,4096,5,10,2,1,1,0,0,0,0,7,1,2,6,5,0,3,4,1,7,10,0,0,not packed
1,0,1,0,1,3,1024,2,1,1,4096,4,10,2,1,1,0,0,0,0,9,1,2,8,5,0,2,4,0,4,8,0,0,not packed
1,0,1,1,1,5,1024,6,1,2,4096,4,10,2,1,1,0,0,0,0,7,1,2,7,5,0,3,5,2,6,9,1,0,not packed
1,0,1,0,2,4,512,2,1,0,8192,3,10,2,0,1,0,0,0,0,7,1,1,9,5,0,2,2,0,2,1,0,0,not packed
1,0,0,1,1,4,1024,3,4,0,4096,6,10,2,4,1,0,0,0,0,7,2,2,8,1,0,3,2,1,4,9,4,1,not packed
